           2
           3
          12
   2.51305199       0.00000000       0.00000000    
  -1.25652647       2.17636752       0.00000000    
   0.00000000       0.00000000       10.0000000    
   2.50022101       1.44350338      -0.00000000    
   0.00000000       2.88700581       0.00000000    
   0.00000000      -0.00000000      0.628318548    
   3.74200204E-16   3.74200204E-16   1.26237862E-15
           1         329
(   -21.4528     ,    0.00000     )    1.00000    
     0     0     0  (   0.222416     ,  -0.429716     )
     1     0     0  (   0.146163E-01 ,  -0.578219E-01 )
     2     0     0  (   0.781900E-03 ,  -0.437015E-02 )
    -2     0     0  (   0.311653E-02 ,  -0.316177E-02 )
    -1     0     0  (   0.387691E-01 ,  -0.453207E-01 )
     0     1     0  (   0.387692E-01 ,  -0.453208E-01 )
     1     1     0  (   0.376675E-02 ,  -0.727750E-02 )
    -2     1     0  (   0.376674E-02 ,  -0.727746E-02 )
    -1     1     0  (   0.146164E-01 ,  -0.578217E-01 )
     0     2     0  (   0.311655E-02 ,  -0.316177E-02 )
    -2     2     0  (   0.781920E-03 ,  -0.437013E-02 )
    -1     2     0  (   0.376675E-02 ,  -0.727748E-02 )
     0    -2     0  (   0.781891E-03 ,  -0.437016E-02 )
     1    -2     0  (   0.376673E-02 ,  -0.727749E-02 )
     2    -2     0  (   0.311651E-02 ,  -0.316178E-02 )
     0    -1     0  (   0.146163E-01 ,  -0.578220E-01 )
     1    -1     0  (   0.387689E-01 ,  -0.453207E-01 )
     2    -1     0  (   0.376672E-02 ,  -0.727747E-02 )
    -1    -1     0  (   0.376675E-02 ,  -0.727750E-02 )
     0     0     1  (  -0.835299E-01 ,  -0.427945     )
     1     0     1  (  -0.229486E-01 ,  -0.517087E-01 )
     2     0     1  (  -0.203399E-02 ,  -0.379486E-02 )
    -2     0     1  (   0.457630E-03 ,  -0.428115E-02 )
    -1     0     1  (   0.181876E-02 ,  -0.565432E-01 )
     0     1     1  (   0.181882E-02 ,  -0.565433E-01 )
     1     1     1  (  -0.151625E-02 ,  -0.776835E-02 )
    -2     1     1  (  -0.151623E-02 ,  -0.776832E-02 )
    -1     1     1  (  -0.229484E-01 ,  -0.517086E-01 )
     0     2     1  (   0.457641E-03 ,  -0.428116E-02 )
    -2     2     1  (  -0.203397E-02 ,  -0.379487E-02 )
    -1     2     1  (  -0.151623E-02 ,  -0.776834E-02 )
     0    -2     1  (  -0.203401E-02 ,  -0.379486E-02 )
     1    -2     1  (  -0.151626E-02 ,  -0.776833E-02 )
     2    -2     1  (   0.457609E-03 ,  -0.428115E-02 )
     0    -1     1  (  -0.229487E-01 ,  -0.517088E-01 )
     1    -1     1  (   0.181859E-02 ,  -0.565430E-01 )
     2    -1     1  (  -0.151625E-02 ,  -0.776831E-02 )
    -1    -1     1  (  -0.151625E-02 ,  -0.776835E-02 )
     0     0     2  (  -0.248459     ,  -0.212543     )
     1     0     2  (  -0.426643E-01 ,  -0.231626E-01 )
     2     0     2  (  -0.359759E-02 ,  -0.157343E-02 )
    -2     0     2  (  -0.211163E-02 ,  -0.331049E-02 )
    -1     0     2  (  -0.294906E-01 ,  -0.385623E-01 )
     0     1     2  (  -0.294907E-01 ,  -0.385624E-01 )
